"","LATITUDE","LONGITUDE","FLOOR"
"1",4864963.00872188,-7600.25708545911,"1"
"2",4864960.53462692,-7597.73150333584,"1"
"3",4864961.37451343,-7602.6951957918,"1"
"4",4864970.89134713,-7608.52806475458,"1"
"5",4864970.8924268,-7608.50011208791,"1"
"6",4864968.70789212,-7604.60799321296,"1"
"7",4864969.72265908,-7605.35928802657,"1"
"8",4864981.00377651,-7615.0283152334,"1"
"9",4864966.09676643,-7608.35756074639,"1"
"10",4864960.47044322,-7598.47511664353,"1"
"11",4864947.33179603,-7577.59242072088,"1"
"12",4864974.85349938,-7609.08449045249,"1"
"13",4864947.23663105,-7576.86612632091,"1"
"14",4864964.82635952,-7609.61029310656,"1"
"15",4864923.08078599,-7574.74278274799,"3"
"16",4864977.19221833,-7610.2161168822,"1"
"17",4864975.17999656,-7603.09797876359,"1"
"18",4864975.1362515,-7604.05027590466,"1"
"19",4864975.35826439,-7604.07326510466,"1"
"20",4864962.98919324,-7601.13895609663,"1"
"21",4864981.49575838,-7611.08153504021,"1"
"22",4864981.99270465,-7611.20155334794,"1"
"23",4864982.05399732,-7610.9380730736,"1"
"24",4864932.1143384,-7600.49974766039,"3"
"25",4864964.83386156,-7609.22377287106,"1"
"26",4864965.64229109,-7611.48141352659,"1"
"27",4864963.61723941,-7605.43344199432,"1"
"28",4864965.88323035,-7617.08454607321,"1"
"29",4864963.43246965,-7596.78171602446,"1"
"30",4864963.79322286,-7598.44472814302,"1"
"31",4864963.39555276,-7598.49115793974,"1"
"32",4864965.17181239,-7603.45123115583,"1"
"33",4864965.17181239,-7602.80641037086,"1"
"34",4864966.96650486,-7615.48144369068,"1"
"35",4864975.59880197,-7615.36684936054,"1"
"36",4864973.46405638,-7609.87561150898,"1"
"37",4864981.97199599,-7618.93401642129,"1"
"38",4864982.25866452,-7617.5387263457,"1"
"39",4864981.89159163,-7617.01976407906,"1"
"40",4864982.63911592,-7617.08566524911,"1"
"41",4864982.89284361,-7617.17669258248,"1"
"42",4864982.72411725,-7617.24879240469,"1"
"43",4864983.5050761,-7620.99871194187,"1"
"44",4864981.1544262,-7613.39179537138,"1"
"45",4864981.17396841,-7611.50851628258,"1"
"46",4864982.72936585,-7619.03962438463,"1"
"47",4864982.73627885,-7617.93464945133,"1"
"48",4864982.7060536,-7620.69455600683,"1"
"49",4864982.36710879,-7621.11377504018,"1"
"50",4864982.50134401,-7620.73039236245,"1"
"51",4864982.52655135,-7620.45761569578,"1"
"52",4864982.64933835,-7621.40714014746,"1"
"53",4864982.46965953,-7624.62827415138,"1"
"54",4864982.93221923,-7623.24296901413,"1"
"55",4864998.01769118,-7630.59727932022,"0"
"56",4864998.25697596,-7631.70660402415,"1"
"57",4864996.88639212,-7627.47726627338,"2"
"58",4864996.82399672,-7627.17056796256,"2"
"59",4864996.30277115,-7627.01528740699,"2"
"60",4864996.92942059,-7627.68119306653,"2"
"61",4864996.56084383,-7627.223255222,"2"
"62",4864990.05012962,-7626.03213998093,"1"
"63",4864996.33607597,-7627.36663485541,"2"
"64",4864994.51678421,-7628.0343108443,"2"
"65",4864994.03889137,-7628.03281034431,"2"
"66",4864994.56803587,-7627.95452192207,"2"
"67",4864996.63428089,-7630.83521869999,"2"
"68",4864996.75587307,-7629.77363536669,"2"
"69",4864997.19029566,-7630.41854059991,"2"
"70",4864997.09994966,-7630.3990355444,"2"
"71",4864996.59481846,-7630.12535421111,"2"
"72",4864996.44751391,-7630.10657929998,"2"
